name,player style,nationality,base price (in cr),status,Team,Price in Cr
Cameron Green,Allrounder,Australia,2.0,remaining,,
Sikandar Raza,Allrounder,Zimbabwe,0.5,remaining,,
Sam Curran,Allrounder,England,2.0,remaining,,
Harry Brook,Batter,England,1.5,remaining,,
Rajat Patidar,Batter,India,1.0,retained,Royal Challengers Bangalore,11.0
Matheesha Pathirana,Bowler,Sri Lanka,1.0,retained,Chennai Super Kings,13.0
Tristan Stubbs,WK-Batter,South Africa,0.2,retained,Delhi Capitals,10.0
Ravi Bishnoi,Bowler,India,0.2,retained,Lucknow Super Giants,11.0
Yash Dhull,Batter,India,0.2,remaining,,
Akash Madhwal,Bowler,India,1.0,remaining,,
Kumar Kartikeya,Allrounder,India,1.5,remaining,,
Shahbaz Ahmed,Allrounder,India,0.2,remaining,,
Rahul Tripathi,Batter,India,1.0,remaining,,
Abhinav Manohar Sadarangani,Batter,India,2.0,remaining,,
Harpreet Brar,Bowler,India,1.5,remaining,,
Dewald Brevis,Batter,South Africa,1.0,remaining,,
Deepak Hooda,Allrounder,India,2.0,remaining,,
Dhruv Jurel,WK-Batter,India,0.2,retained,Rajasthan Royals,14.0
Mukesh Choudhary,Bowler,India,1.5,remaining,,
Tim David,Allrounder,Singapore,1.5,remaining,,
Atharva Taide,Allrounder,India,0.2,remaining,,
Praveen Dubey,Bowler,India,2.0,remaining,,
Sai Sudharsan,Batter,India,0.5,retained,Gujarat Titans,8.5
Sarfaraz Khan,Batter,India,2.0,remaining,,
Kuldeep Yadav,Bowler,India,1.5,retained,Delhi Capitals,13.25
Subhranshu Senapati,Batter,India,0.5,remaining,,
Obed McCoy,Bowler,West Indies,0.2,remaining,,
Siddarth Kaul,Bowler,India,1.0,remaining,,
Fazalhaq Farooqi,Bowler,Afghanistan,2.0,remaining,,
Shahrukh Khan,Batter,India,0.5,retained,Gujarat Titans,4.0
Kamlesh Nagarkoti,Bowler,India,0.5,remaining,,
